name,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w
point1,0.368, -0.156, 0.260,0.991, 0.039, 0.121, -0.050
point2,0.325, -0.084, 0.115,0.966, -0.167, 0.197, 0.007
point3,-0.105, -0.394, 0.196,0.990, 0.039, 0.122, -0.051
point4,-0.211,0.006,-0.339,0.998,-0.053,-0.010,-0.041
